index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
102,Inglourious Basterds,2009,8.3,1352850,2,https://www.imdb.com/title/tt0361748/
103,Eternal Sunshine of the Spotless Mind,2004,8.3,958487,6,https://www.imdb.com/title/tt0338013/
104,Amélie,2001,8.3,730753,1,https://www.imdb.com/title/tt0211915/
105,Requiem for a Dream,2000,8.3,803294,4,https://www.imdb.com/title/tt0180093/
106,American Beauty,1999,8.3,1113575,2,https://www.imdb.com/title/tt0169547/
107,Good Will Hunting,1997,8.3,912783,3,https://www.imdb.com/title/tt0119217/
108,Children of Heaven,1997,8.3,71390,3,https://www.imdb.com/title/tt0118849/
109,Toy Story,1995,8.3,938013,2,https://www.imdb.com/title/tt0114709/
110,Braveheart,1995,8.3,997072,1,https://www.imdb.com/title/tt0112573/
111,Reservoir Dogs,1992,8.3,968593,2,https://www.imdb.com/title/tt0105236/
112,Full Metal Jacket,1987,8.3,708773,3,https://www.imdb.com/title/tt0093058/
113,Come and See,1985,8.3,70209,3,https://www.imdb.com/title/tt0091251/
114,Aliens,1986,8.3,686138,1,https://www.imdb.com/title/tt0090605/
